Epoch_Time_of_Clock,Crs,actual
2017-11-22 00:00:00,20.720919,-46.4673895179
2017-11-22 01:00:00,7.041031,-49.5447153262
2017-11-22 02:00:00,-5.7042065,-52.800834242700006
2017-11-22 03:00:00,-17.241781,-56.212203549499996
2017-11-22 04:00:00,-27.431906,-59.7491813385
2017-11-22 05:00:00,-36.238506,-63.2418443209
2017-11-22 06:00:00,-43.70795,-66.3500180719
2017-11-22 07:00:00,-49.947346,-68.03812458979999
2017-11-22 08:00:00,-55.100025,-66.6754534053
2017-11-22 09:00:00,-59.322605,-62.7672784135
2017-11-22 10:00:00,-62.767597,-58.917406588199995
2017-11-22 11:00:00,-65.57297,-56.273132849899994
2017-11-22 12:00:00,-67.85767,-54.4401189625
2017-11-22 13:00:00,-69.72109,-53.1647743944
2017-11-22 14:00:00,-71.24455,-52.4016773608
2017-11-22 15:00:00,-72.493774,-52.1144568916
2017-11-22 16:00:00,-73.52152,-52.2667420171
2017-11-22 17:00:00,-74.36994,-52.822161767299995
2017-11-22 18:00:00,-75.07278,-53.744345172299994
2017-11-22 19:00:00,-75.656975,-54.996921262200004
2017-11-22 20:00:00,-76.14417,-56.5435190673
2017-11-22 21:00:00,-76.55175,-58.3477676175
2017-11-22 22:00:00,-76.89373,-60.373295943
2017-11-22 23:00:00,-77.18151,-62.58373307390001
